S,family,base,strategy,t3_n_dmc,t2_n_dmc,rel_err_n_dmc,t3_n_bank,t2_n_bank,rel_err_n_bank,flag_gt_30pct
512B,grain512,0x200,sbox,384,384,0.0,2304,2304,0.0,False
512B,grain512,0x400,sbox,384,384,0.0,2304,2304,0.0,False
512B,grain512,0x600,sbox,384,384,0.0,2304,2304,0.0,False
512B,grain512,0xe00,sbox,384,384,0.0,2304,2304,0.0,False
512B,grain512,0x1e00,sbox,384,384,0.0,2304,2304,0.0,False
512B,grain512,0x3e00,sbox,384,384,0.0,2304,2304,0.0,False
512B,grain512,0x7e00,sbox,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x0,sns,384,384,0.0,9008,9008,0.0,False
512B,align2MiB,0x200000,sns,384,384,0.0,9008,9008,0.0,False
512B,align2MiB,0x400000,sns,384,384,0.0,9008,9008,0.0,False
512B,align2MiB,0x600000,sns,384,384,0.0,9008,9008,0.0,False
512B,align2MiB,0x0,mod384,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x200000,mod384,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x400000,mod384,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x600000,mod384,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x0,low,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x200000,low,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x400000,low,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x600000,low,384,384,0.0,384,384,0.0,False
512B,align2MiB,0x0,high,4,4,0.0,4,4,0.0,False
512B,align2MiB,0x200000,high,4,4,0.0,4,4,0.0,False
512B,align2MiB,0x400000,high,4,4,0.0,4,4,0.0,False
512B,align2MiB,0x600000,high,4,4,0.0,4,4,0.0,False
512B,align2MiB,0x0,shear,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x200000,shear,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x400000,shear,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x600000,shear,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x0,sbox,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x200000,sbox,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x400000,sbox,384,384,0.0,2304,2304,0.0,False
512B,align2MiB,0x600000,sbox,384,384,0.0,2304,2304,0.0,False
