S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
2MiB,align2MiB,REL_DIFF,sns,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
2MiB,align2MiB,REL_DIFF,mod384,3.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
2MiB,align2MiB,REL_DIFF,low,1.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
2MiB,align2MiB,REL_DIFF,high,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
2MiB,align2MiB,REL_DIFF,shear,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
2MiB,align2MiB,REL_DIFF,sbox,1.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
1MiB,grain512,0x0,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x200,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x400,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x600,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0xe00,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x1e00,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x3e00,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x7e00,sns,384,2304,0.9375,6-6,1,22,20,
1MiB,grain512,0x0,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0x200,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0x400,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0x600,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0xe00,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0x1e00,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0x3e00,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0x7e00,mod384,3,3,0.9998,1-1,1,2731,2730,
1MiB,grain512,0x0,low,1,1,1.0000,1-1,1,8192,8192,
