S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
512B,grain512,0x1e00,high,4,4,0.8039,1-1,1,4096,3087,
512B,grain512,0x3e00,high,4,4,0.8081,1-1,1,4096,3103,
512B,grain512,0x7e00,high,4,4,0.8164,1-1,1,4096,3135,
512B,grain512,0x0,shear,384,2304,0.9500,6-6,1,41,38,
512B,grain512,0x200,shear,384,2304,0.9500,6-6,1,42,38,
512B,grain512,0x400,shear,384,2304,0.9500,6-6,1,42,38,
512B,grain512,0x600,shear,384,2304,0.9500,6-6,1,42,38,
512B,grain512,0xe00,shear,384,2304,0.9500,6-6,1,42,38,
512B,grain512,0x1e00,shear,384,2304,0.9500,6-6,1,42,38,
512B,grain512,0x3e00,shear,384,2304,0.9500,6-6,1,42,38,
512B,grain512,0x7e00,shear,384,2304,0.9500,6-6,1,42,38,
512B,grain512,0x0,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,0x200,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,0x400,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,0x600,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,0xe00,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,0x1e00,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,0x3e00,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,0x7e00,sbox,384,2304,0.9000,6-6,1,42,36,
512B,grain512,REL_DIFF,sns,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512B,grain512,REL_DIFF,mod384,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512B,grain512,REL_DIFF,low,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512B,grain512,REL_DIFF,high,4.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512B,grain512,REL_DIFF,shear,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512B,grain512,REL_DIFF,sbox,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512B,align2MiB,0x0,sns,384,9008,0.9000,22-24,4,42,36,
512B,align2MiB,0x200000,sns,384,9008,0.9000,22-24,4,42,36,
512B,align2MiB,0x400000,sns,384,9008,0.9000,22-24,4,42,36,
512B,align2MiB,0x600000,sns,384,9008,0.9000,22-24,4,42,36,
512B,align2MiB,0x0,mod384,384,384,1.0000,1-1,1,40,40,
512B,align2MiB,0x200000,mod384,384,384,1.0000,1-1,1,40,40,
512B,align2MiB,0x400000,mod384,384,384,1.0000,1-1,1,40,40,
512B,align2MiB,0x600000,mod384,384,384,1.0000,1-1,1,40,40,
512B,align2MiB,0x0,low,384,384,0.7500,1-1,1,60,30,
512B,align2MiB,0x200000,low,384,384,0.7500,1-1,1,60,30,
512B,align2MiB,0x400000,low,384,384,0.7500,1-1,1,60,30,
512B,align2MiB,0x600000,low,384,384,0.7500,1-1,1,60,30,
512B,align2MiB,0x0,high,4,4,0.8000,1-1,1,4096,3072,
512B,align2MiB,0x200000,high,4,4,0.8000,1-1,1,4096,3072,
512B,align2MiB,0x400000,high,4,4,0.8000,1-1,1,4096,3072,
512B,align2MiB,0x600000,high,4,4,0.8000,1-1,1,4096,3072,
512B,align2MiB,0x0,shear,384,2304,0.9500,6-6,1,41,38,
512B,align2MiB,0x200000,shear,384,2304,0.9500,6-6,1,41,38,
512B,align2MiB,0x400000,shear,384,2304,0.9500,6-6,1,41,38,
512B,align2MiB,0x600000,shear,384,2304,0.9500,6-6,1,41,38,
512B,align2MiB,0x0,sbox,384,2304,0.9000,6-6,1,42,36,
512B,align2MiB,0x200000,sbox,384,2304,0.9000,6-6,1,42,36,
512B,align2MiB,0x400000,sbox,384,2304,0.9000,6-6,1,42,36,
512B,align2MiB,0x600000,sbox,384,2304,0.9000,6-6,1,42,36,
512B,align2MiB,REL_DIFF,sns,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512B,align2MiB,REL_DIFF,mod384,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512B,align2MiB,REL_DIFF,low,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512B,align2MiB,REL_DIFF,high,4.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512B,align2MiB,REL_DIFF,shear,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512B,align2MiB,REL_DIFF,sbox,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
