S,mask,strategy,t3_cls_mean,t2_cls_mean,rel_err_cls,t3_n_bank,t2_n_bank,rel_err_n_bank,t3_dead,t2_dead,flag_gt_30pct
9x512B,unif-12.5%(n=42),minimax,8.570093457943925,8.570093457943925,0.0,2751,2751,0.0,0,0,False
9x512B,unif-6.25%(n=45),skip-dead,8.06853582554517,8.06853582554517,0.0,2590,2590,0.0,0,0,False
9x512B,unif-6.25%(n=45),stack,8.249221183800623,,0.0,2648,,0.0,0,,False
9x512B,unif-6.25%(n=45),modn-a1,8.205607476635514,8.205607476635514,0.0,2634,2634,0.0,0,0,False
9x512B,unif-6.25%(n=45),minimax,8.205607476635514,8.205607476635514,0.0,2634,2634,0.0,0,0,False
9x512B,3-biased(n=32),skip-dead,8.230529595015577,8.230529595015577,0.0,2642,2642,0.0,0,0,False
9x512B,3-biased(n=32),stack,8.230529595015577,,0.0,2642,,0.0,0,,False
9x512B,3-biased(n=32),modn-a1,9.015576323987538,9.015576323987538,0.0,2894,2894,0.0,0,0,False
9x512B,3-biased(n=32),minimax,9.015576323987538,9.015576323987538,0.0,2894,2894,0.0,0,0,False
512KiB,full-good,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512KiB,full-good,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
512KiB,full-good,modn-a1,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512KiB,full-good,minimax,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512KiB,n=40,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512KiB,n=40,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
512KiB,n=40,modn-a1,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
512KiB,n=40,minimax,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
512KiB,unif-25%(n=36),skip-dead,8.083333333333334,8.083333333333334,0.0,3104,3104,0.0,0,0,False
512KiB,unif-25%(n=36),stack,8.666666666666666,,0.0,3328,,0.0,0,,False
512KiB,unif-25%(n=36),modn-a1,8.0,8.0,0.0,3072,3072,0.0,0,0,False
512KiB,unif-25%(n=36),minimax,8.0,8.0,0.0,3072,3072,0.0,0,0,False
512KiB,unif-12.5%(n=42),skip-dead,8.916666666666666,8.916666666666666,0.0,3424,3424,0.0,0,0,False
512KiB,unif-12.5%(n=42),stack,9.083333333333334,,0.0,3488,,0.0,0,,False
512KiB,unif-12.5%(n=42),modn-a1,10.0,10.0,0.0,3840,3840,0.0,0,0,False
512KiB,unif-12.5%(n=42),minimax,10.0,10.0,0.0,3840,3840,0.0,0,0,False
512KiB,unif-6.25%(n=45),skip-dead,9.166666666666666,9.166666666666666,0.0,3520,3520,0.0,0,0,False
512KiB,unif-6.25%(n=45),stack,9.333333333333334,,0.0,3584,,0.0,0,,False
512KiB,unif-6.25%(n=45),modn-a1,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
512KiB,unif-6.25%(n=45),minimax,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
512KiB,3-biased(n=32),skip-dead,9.25,9.25,0.0,3552,3552,0.0,0,0,False
512KiB,3-biased(n=32),stack,9.25,,0.0,3552,,0.0,0,,False
512KiB,3-biased(n=32),modn-a1,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
512KiB,3-biased(n=32),minimax,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
1MiB,full-good,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
1MiB,full-good,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
1MiB,full-good,modn-a1,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
1MiB,full-good,minimax,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
1MiB,n=40,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
1MiB,n=40,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
1MiB,n=40,modn-a1,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
1MiB,n=40,minimax,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
1MiB,unif-25%(n=36),skip-dead,8.083333333333334,8.083333333333334,0.0,3104,3104,0.0,0,0,False
1MiB,unif-25%(n=36),stack,8.666666666666666,,0.0,3328,,0.0,0,,False
1MiB,unif-25%(n=36),modn-a1,8.0,8.0,0.0,3072,3072,0.0,0,0,False
1MiB,unif-25%(n=36),minimax,8.0,8.0,0.0,3072,3072,0.0,0,0,False
1MiB,unif-12.5%(n=42),skip-dead,8.916666666666666,8.916666666666666,0.0,3424,3424,0.0,0,0,False
1MiB,unif-12.5%(n=42),stack,9.083333333333334,,0.0,3488,,0.0,0,,False
1MiB,unif-12.5%(n=42),modn-a1,10.0,10.0,0.0,3840,3840,0.0,0,0,False
1MiB,unif-12.5%(n=42),minimax,10.0,10.0,0.0,3840,3840,0.0,0,0,False
1MiB,unif-6.25%(n=45),skip-dead,9.166666666666666,9.166666666666666,0.0,3520,3520,0.0,0,0,False
1MiB,unif-6.25%(n=45),stack,9.333333333333334,,0.0,3584,,0.0,0,,False
1MiB,unif-6.25%(n=45),modn-a1,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
1MiB,unif-6.25%(n=45),minimax,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
1MiB,3-biased(n=32),skip-dead,9.25,9.25,0.0,3552,3552,0.0,0,0,False
1MiB,3-biased(n=32),stack,9.25,,0.0,3552,,0.0,0,,False
1MiB,3-biased(n=32),modn-a1,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
1MiB,3-biased(n=32),minimax,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
2MiB,full-good,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
2MiB,full-good,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
2MiB,full-good,modn-a1,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
2MiB,full-good,minimax,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
2MiB,n=40,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
2MiB,n=40,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
2MiB,n=40,modn-a1,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
2MiB,n=40,minimax,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
2MiB,unif-25%(n=36),skip-dead,8.083333333333334,8.083333333333334,0.0,3104,3104,0.0,0,0,False
2MiB,unif-25%(n=36),stack,8.666666666666666,,0.0,3328,,0.0,0,,False
2MiB,unif-25%(n=36),modn-a1,8.0,8.0,0.0,3072,3072,0.0,0,0,False
2MiB,unif-25%(n=36),minimax,8.0,8.0,0.0,3072,3072,0.0,0,0,False
2MiB,unif-12.5%(n=42),skip-dead,8.916666666666666,8.916666666666666,0.0,3424,3424,0.0,0,0,False
2MiB,unif-12.5%(n=42),stack,9.083333333333334,,0.0,3488,,0.0,0,,False
2MiB,unif-12.5%(n=42),modn-a1,10.0,10.0,0.0,3840,3840,0.0,0,0,False
2MiB,unif-12.5%(n=42),minimax,10.0,10.0,0.0,3840,3840,0.0,0,0,False
2MiB,unif-6.25%(n=45),skip-dead,9.166666666666666,9.166666666666666,0.0,3520,3520,0.0,0,0,False
2MiB,unif-6.25%(n=45),stack,9.333333333333334,,0.0,3584,,0.0,0,,False
2MiB,unif-6.25%(n=45),modn-a1,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
2MiB,unif-6.25%(n=45),minimax,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
2MiB,3-biased(n=32),skip-dead,9.25,9.25,0.0,3552,3552,0.0,0,0,False
2MiB,3-biased(n=32),stack,9.25,,0.0,3552,,0.0,0,,False
2MiB,3-biased(n=32),modn-a1,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
2MiB,3-biased(n=32),minimax,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
